smooth/rough,disorganized/organized,chromaticity,dull/shiny,darkness/lightness,Image,fine/coarse grain,red/green
6.6,4.65,0.3,6.15,1.3,S_Bituminous Coal_03.jpg,4.35,5.02
4.35,4.3,0.8,7.25,2.85,S_Bituminous Coal_04.jpg,3.4,5.49
4.9,4.6,1.2,4.65,1.55,S_Bituminous Coal_05.jpg,2.95,5.02
4.15,4.7,1.5,6.2,2.6,S_Bituminous Coal_06.jpg,2.55,4.51
4.6,5.15,1.3,4.1,1.65,S_Bituminous Coal_07.jpg,3.55,5.44
4.65,4.7,0.3,5.7,1.4,S_Bituminous Coal_08.jpg,2.8,5.02
1.15,5.9,0.2,7.75,1.1,S_Bituminous Coal_09.jpg,1.05,5.0
4.6,4.7,0.3,6.8,1.1,S_Bituminous Coal_10.jpg,2.2,4.93
2.65,5.0,0.6,7.4,1.3,S_Bituminous Coal_11.jpg,1.9,4.91
5.8,3.75,1.1,4.8,3.05,S_Bituminous Coal_12.jpg,4.55,5.47
8.7,1.0,3.5,2.2,5.0,S_Breccia_01.jpg,8.75,6.63
8.25,1.85,3.1,3.6,5.55,S_Breccia_02.jpg,8.55,4.4
8.0,2.45,1.7,2.4,6.2,S_Breccia_03.jpg,8.05,6.7
6.0,3.2,2.4,3.65,5.25,S_Breccia_04.jpg,6.5,3.35
7.9,1.85,2.3,4.95,5.5,S_Breccia_05.jpg,8.0,4.37
7.3,3.55,4.4,4.2,5.7,S_Breccia_06.jpg,7.8,2.4
5.4,3.3,5.5,3.85,5.7,S_Breccia_07.jpg,8.6,1.51
6.25,2.15,5.4,3.8,5.35,S_Breccia_08.jpg,8.45,2.7
2.75,3.0,0.4,5.45,2.0,S_Breccia_09.jpg,3.65,4.95
4.7,3.4,2.8,3.15,4.0,S_Breccia_10.jpg,7.65,3.53
5.15,3.15,5.7,3.95,5.75,S_Breccia_11.jpg,8.85,1.23
8.05,2.25,5.1,2.65,4.9,S_Breccia_12.jpg,8.1,3.6
2.15,4.55,3.2,4.85,5.8,S_Chert_01.jpg,2.05,3.91
2.4,5.15,3.0,4.25,8.25,S_Chert_02.jpg,1.9,4.23
