dull/shiny,disorganized/organized,fine/coarse grain,Image,red/green,smooth/rough,chromaticity,darkness/lightness
3.9,4.85,5.25,M_Phyllite_11.jpg,4.91,6.15,1.8,4.75
6.4,5.4,3.75,M_Phyllite_12.jpg,5.51,4.75,1.7,6.45
2.85,5.35,4.35,M_Quartzite_01.jpg,5.02,3.9,1.2,6.05
2.5,7.55,3.2,M_Quartzite_02.jpg,3.77,3.1,2.5,5.4
2.85,5.45,5.1,M_Quartzite_03.jpg,8.49,5.15,3.3,5.55
3.7,4.6,4.85,M_Quartzite_04.jpg,5.91,4.95,1.4,6.45
4.3,5.7,4.05,M_Quartzite_05.jpg,5.09,3.8,1.0,7.55
4.35,5.9,4.75,M_Quartzite_06.jpg,3.74,4.7,2.9,6.4
3.45,6.05,2.6,M_Quartzite_07.jpg,6.07,2.9,2.4,6.15
3.45,5.75,4.2,M_Quartzite_08.jpg,5.23,4.35,1.4,7.15
4.4,4.65,5.05,M_Quartzite_09.jpg,4.95,4.05,1.0,7.05
4.75,3.9,5.1,M_Quartzite_10.jpg,2.91,5.8,3.9,6.4
2.15,5.9,4.4,M_Quartzite_11.jpg,1.58,3.9,5.5,5.65
1.95,6.05,3.45,M_Quartzite_12.jpg,4.0,3.9,3.7,6.5
2.95,4.7,4.2,M_Schist_01.jpg,4.81,5.1,1.6,5.8
5.35,3.7,5.65,M_Schist_02.jpg,5.53,6.8,0.9,6.55
4.55,3.8,5.5,M_Schist_03.jpg,6.77,6.55,2.7,3.15
4.85,3.9,5.55,M_Schist_04.jpg,3.58,5.55,4.1,4.55
6.8,4.74,3.95,M_Schist_05.jpg,5.63,5.1,1.3,3.9
5.95,3.95,6.2,M_Schist_06.jpg,4.21,6.4,1.6,4.55
5.0,3.7,6.1,M_Schist_07.jpg,7.65,6.3,3.3,4.15
4.4,3.5,5.25,M_Schist_08.jpg,5.12,5.45,1.0,5.95
3.05,4.7,5.6,M_Schist_09.jpg,5.72,6.15,0.6,3.2
4.35,4.6,5.3,M_Schist_10.jpg,5.86,5.65,1.3,4.8
4.15,4.1,5.45,M_Schist_11.jpg,5.26,5.8,2.4,4.55
4.2,3.3,6.35,M_Schist_12.jpg,4.77,5.9,2.3,4.1
2.45,6.15,3.75,M_Slate_01.jpg,8.49,4.25,3.4,4.9
6.05,5.95,1.7,M_Slate_02.jpg,5.05,2.6,0.8,6.65
2.4,5.2,3.1,M_Slate_03.jpg,5.53,3.7,0.7,5.0
2.15,5.6,2.75,M_Slate_04.jpg,5.4,3.6,0.4,4.5
2.9,6.2,2.8,M_Slate_05.jpg,1.16,3.7,5.7,5.1
2.25,5.45,2.7,M_Slate_06.jpg,4.81,4.05,1.2,3.25
2.35,5.6,2.6,M_Slate_07.jpg,6.63,3.2,4.6,4.4
1.95,6.0,2.1,M_Slate_08.jpg,2.63,2.5,5.0,3.45
2.9,4.7,3.2,M_Slate_09.jpg,5.0,4.2,1.7,5.1
2.95,5.8,3.05,M_Slate_10.jpg,5.12,4.1,0.5,5.1
