fine/coarse grain,smooth/rough,darkness/lightness,dull/shiny,chromaticity,red/green,disorganized/organized,Image
3.0,4.7,7.85,3.7,2.9,5.35,4.5,S_Chert_05.jpg
2.75,2.85,7.7,4.5,4.4,4.28,4.1,S_Chert_06.jpg
1.95,2.6,6.7,3.25,4.9,3.37,5.6,S_Chert_07.jpg
2.0,2.2,7.45,7.6,2.7,3.3,5.25,S_Chert_08.jpg
2.35,2.45,8.35,6.7,1.2,4.81,4.25,S_Chert_09.jpg
2.5,2.4,7.1,4.85,3.5,3.98,4.35,S_Chert_10.jpg
1.6,1.65,1.7,8.25,2.8,3.51,4.25,S_Chert_11.jpg
3.4,4.25,3.4,3.85,1.8,5.4,4.3,S_Chert_12.jpg
7.95,8.4,4.2,2.45,5.7,1.49,2.2,S_Conglomerate_01.jpg
7.1,6.45,6.8,2.65,1.8,5.51,3.25,S_Conglomerate_02.jpg
7.85,5.75,5.0,2.85,2.2,4.81,4.05,S_Conglomerate_03.jpg
8.4,7.9,3.1,2.95,4.1,3.28,2.1,S_Conglomerate_04.jpg
7.95,6.7,5.0,4.6,5.3,3.91,2.1,S_Conglomerate_05.jpg
6.9,7.45,4.5,1.9,4.0,2.84,2.65,S_Conglomerate_06.jpg
8.45,8.15,6.0,1.95,5.0,6.07,2.15,S_Conglomerate_07.jpg
7.45,8.15,6.05,3.15,4.1,6.35,2.2,S_Conglomerate_08.jpg
8.0,7.25,4.05,2.35,4.8,2.86,2.4,S_Conglomerate_09.jpg
6.95,5.6,5.65,2.9,4.1,6.33,3.5,S_Conglomerate_10.jpg
8.4,8.05,5.5,2.95,2.9,4.23,2.0,S_Conglomerate_11.jpg
4.4,5.95,4.05,2.2,2.0,4.3,4.75,S_Conglomerate_12.jpg
2.5,3.0,7.15,1.7,1.9,6.05,6.3,S_Dolomite_01.jpg
5.05,5.9,5.0,3.95,5.7,1.3,4.3,S_Dolomite_02.jpg
4.05,4.35,5.25,3.85,1.7,4.6,4.5,S_Dolomite_03.jpg
3.0,3.7,8.0,2.25,2.6,4.56,5.8,S_Dolomite_04.jpg
2.8,2.7,7.25,3.05,3.7,4.44,5.2,S_Dolomite_05.jpg
2.85,3.5,8.8,4.35,0.6,5.16,5.75,S_Dolomite_06.jpg
2.9,3.2,4.95,2.35,1.4,6.23,6.0,S_Dolomite_07.jpg
3.45,5.0,7.3,1.85,3.4,6.81,4.4,S_Dolomite_08.jpg
3.9,4.0,7.3,2.45,3.3,7.16,5.0,S_Dolomite_09.jpg
3.2,3.4,4.7,1.9,2.1,6.26,4.55,S_Dolomite_10.jpg
5.35,5.7,6.6,3.25,0.6,5.21,3.65,S_Dolomite_11.jpg
2.55,3.3,7.85,2.25,1.4,4.88,5.55,S_Dolomite_12.jpg
3.2,4.05,6.9,2.3,3.8,4.51,5.2,S_Micrite_01.jpg
4.65,6.4,7.65,2.35,1.5,4.53,5.05,S_Micrite_02.jpg
4.45,7.1,8.05,3.15,1.3,4.91,3.5,S_Micrite_03.jpg
1.75,3.1,2.1,4.2,2.8,7.05,4.9,S_Micrite_04.jpg
4.85,6.35,6.7,2.1,0.6,5.33,3.1,S_Micrite_05.jpg
3.9,4.15,7.1,2.35,1.6,5.02,4.8,S_Micrite_06.jpg
4.2,4.7,6.95,2.4,1.3,5.44,5.3,S_Micrite_07.jpg
4.05,4.8,7.0,4.25,1.5,5.14,4.3,S_Micrite_08.jpg
2.45,3.4,5.2,2.55,4.1,5.81,5.3,S_Micrite_09.jpg
2.1,2.4,6.0,1.95,1.6,5.53,5.9,S_Micrite_10.jpg
2.85,4.05,7.05,2.4,1.6,4.79,5.1,S_Micrite_11.jpg
3.45,5.0,7.15,4.0,1.5,4.81,4.7,S_Micrite_12.jpg
4.55,5.5,8.35,4.85,1.9,4.58,4.65,S_Rock Gypsum_01.jpg
2.3,2.85,8.55,5.65,0.4,5.09,5.1,S_Rock Gypsum_02.jpg
3.0,3.4,8.5,6.65,1.8,5.56,6.35,S_Rock Gypsum_03.jpg
6.15,7.55,7.65,4.4,0.8,4.84,2.1,S_Rock Gypsum_04.jpg
4.75,6.45,4.35,3.25,0.5,5.09,4.5,S_Rock Gypsum_05.jpg
2.45,2.55,8.1,5.4,0.3,5.07,5.5,S_Rock Gypsum_06.jpg
3.4,4.4,8.35,4.15,0.1,4.98,5.65,S_Rock Gypsum_07.jpg
3.3,4.4,6.55,6.15,0.6,5.02,4.1,S_Rock Gypsum_08.jpg
3.15,4.75,7.8,7.25,0.4,5.12,5.2,S_Rock Gypsum_09.jpg
3.05,4.8,8.25,6.35,1.6,4.6,4.5,S_Rock Gypsum_10.jpg
2.6,3.1,8.1,6.8,0.7,5.0,5.4,S_Rock Gypsum_11.jpg
3.25,3.9,6.25,7.05,2.4,4.6,3.55,S_Rock Gypsum_12.jpg
4.6,5.1,5.2,7.0,1.0,4.91,3.95,S_Rock Salt_01.jpg
6.6,7.65,3.85,6.35,0.3,5.0,3.65,S_Rock Salt_02.jpg
6.4,7.15,7.1,6.05,1.7,4.77,3.8,S_Rock Salt_03.jpg
7.2,8.2,6.4,7.3,2.9,5.81,1.8,S_Rock Salt_04.jpg
