disorganized/organized,red/green,fine/coarse grain,dull/shiny,chromaticity,Image,darkness/lightness,smooth/rough
4.5,5.35,3.0,3.7,2.9,S_Chert_05.jpg,7.85,4.7
4.1,4.28,2.75,4.5,4.4,S_Chert_06.jpg,7.7,2.85
5.6,3.37,1.95,3.25,4.9,S_Chert_07.jpg,6.7,2.6
5.25,3.3,2.0,7.6,2.7,S_Chert_08.jpg,7.45,2.2
4.25,4.81,2.35,6.7,1.2,S_Chert_09.jpg,8.35,2.45
4.35,3.98,2.5,4.85,3.5,S_Chert_10.jpg,7.1,2.4
4.25,3.51,1.6,8.25,2.8,S_Chert_11.jpg,1.7,1.65
4.3,5.4,3.4,3.85,1.8,S_Chert_12.jpg,3.4,4.25
2.2,1.49,7.95,2.45,5.7,S_Conglomerate_01.jpg,4.2,8.4
3.25,5.51,7.1,2.65,1.8,S_Conglomerate_02.jpg,6.8,6.45
4.05,4.81,7.85,2.85,2.2,S_Conglomerate_03.jpg,5.0,5.75
2.1,3.28,8.4,2.95,4.1,S_Conglomerate_04.jpg,3.1,7.9
2.1,3.91,7.95,4.6,5.3,S_Conglomerate_05.jpg,5.0,6.7
2.65,2.84,6.9,1.9,4.0,S_Conglomerate_06.jpg,4.5,7.45
2.15,6.07,8.45,1.95,5.0,S_Conglomerate_07.jpg,6.0,8.15
2.2,6.35,7.45,3.15,4.1,S_Conglomerate_08.jpg,6.05,8.15
2.4,2.86,8.0,2.35,4.8,S_Conglomerate_09.jpg,4.05,7.25
3.5,6.33,6.95,2.9,4.1,S_Conglomerate_10.jpg,5.65,5.6
2.0,4.23,8.4,2.95,2.9,S_Conglomerate_11.jpg,5.5,8.05
4.75,4.3,4.4,2.2,2.0,S_Conglomerate_12.jpg,4.05,5.95
6.3,6.05,2.5,1.7,1.9,S_Dolomite_01.jpg,7.15,3.0
4.3,1.3,5.05,3.95,5.7,S_Dolomite_02.jpg,5.0,5.9
4.5,4.6,4.05,3.85,1.7,S_Dolomite_03.jpg,5.25,4.35
5.8,4.56,3.0,2.25,2.6,S_Dolomite_04.jpg,8.0,3.7
5.2,4.44,2.8,3.05,3.7,S_Dolomite_05.jpg,7.25,2.7
5.75,5.16,2.85,4.35,0.6,S_Dolomite_06.jpg,8.8,3.5
6.0,6.23,2.9,2.35,1.4,S_Dolomite_07.jpg,4.95,3.2
4.4,6.81,3.45,1.85,3.4,S_Dolomite_08.jpg,7.3,5.0
5.0,7.16,3.9,2.45,3.3,S_Dolomite_09.jpg,7.3,4.0
4.55,6.26,3.2,1.9,2.1,S_Dolomite_10.jpg,4.7,3.4
3.65,5.21,5.35,3.25,0.6,S_Dolomite_11.jpg,6.6,5.7
5.55,4.88,2.55,2.25,1.4,S_Dolomite_12.jpg,7.85,3.3
5.2,4.51,3.2,2.3,3.8,S_Micrite_01.jpg,6.9,4.05
5.05,4.53,4.65,2.35,1.5,S_Micrite_02.jpg,7.65,6.4
3.5,4.91,4.45,3.15,1.3,S_Micrite_03.jpg,8.05,7.1
4.9,7.05,1.75,4.2,2.8,S_Micrite_04.jpg,2.1,3.1
3.1,5.33,4.85,2.1,0.6,S_Micrite_05.jpg,6.7,6.35
4.8,5.02,3.9,2.35,1.6,S_Micrite_06.jpg,7.1,4.15
5.3,5.44,4.2,2.4,1.3,S_Micrite_07.jpg,6.95,4.7
4.3,5.14,4.05,4.25,1.5,S_Micrite_08.jpg,7.0,4.8
5.3,5.81,2.45,2.55,4.1,S_Micrite_09.jpg,5.2,3.4
5.9,5.53,2.1,1.95,1.6,S_Micrite_10.jpg,6.0,2.4
5.1,4.79,2.85,2.4,1.6,S_Micrite_11.jpg,7.05,4.05
4.7,4.81,3.45,4.0,1.5,S_Micrite_12.jpg,7.15,5.0
4.65,4.58,4.55,4.85,1.9,S_Rock Gypsum_01.jpg,8.35,5.5
