smooth/rough,Image,red/green,dull/shiny,chromaticity,fine/coarse grain,darkness/lightness,disorganized/organized
8.7,S_Breccia_01.jpg,6.63,2.2,3.5,8.75,5.0,1.0
8.25,S_Breccia_02.jpg,4.4,3.6,3.1,8.55,5.55,1.85
8.0,S_Breccia_03.jpg,6.7,2.4,1.7,8.05,6.2,2.45
6.0,S_Breccia_04.jpg,3.35,3.65,2.4,6.5,5.25,3.2
7.9,S_Breccia_05.jpg,4.37,4.95,2.3,8.0,5.5,1.85
7.3,S_Breccia_06.jpg,2.4,4.2,4.4,7.8,5.7,3.55
5.4,S_Breccia_07.jpg,1.51,3.85,5.5,8.6,5.7,3.3
6.25,S_Breccia_08.jpg,2.7,3.8,5.4,8.45,5.35,2.15
2.75,S_Breccia_09.jpg,4.95,5.45,0.4,3.65,2.0,3.0
4.7,S_Breccia_10.jpg,3.53,3.15,2.8,7.65,4.0,3.4
5.15,S_Breccia_11.jpg,1.23,3.95,5.7,8.85,5.75,3.15
8.05,S_Breccia_12.jpg,3.6,2.65,5.1,8.1,4.9,2.25
2.15,S_Chert_01.jpg,3.91,4.85,3.2,2.05,5.8,4.55
2.4,S_Chert_02.jpg,4.23,4.25,3.0,1.9,8.25,5.15
2.5,S_Chert_03.jpg,4.7,4.2,4.6,1.85,7.55,4.55
2.9,S_Chert_04.jpg,5.05,2.55,1.6,2.65,6.2,5.2
4.7,S_Chert_05.jpg,5.35,3.7,2.9,3.0,7.85,4.5
2.85,S_Chert_06.jpg,4.28,4.5,4.4,2.75,7.7,4.1
2.6,S_Chert_07.jpg,3.37,3.25,4.9,1.95,6.7,5.6
2.2,S_Chert_08.jpg,3.3,7.6,2.7,2.0,7.45,5.25
2.45,S_Chert_09.jpg,4.81,6.7,1.2,2.35,8.35,4.25
2.4,S_Chert_10.jpg,3.98,4.85,3.5,2.5,7.1,4.35
1.65,S_Chert_11.jpg,3.51,8.25,2.8,1.6,1.7,4.25
4.25,S_Chert_12.jpg,5.4,3.85,1.8,3.4,3.4,4.3
8.4,S_Conglomerate_01.jpg,1.49,2.45,5.7,7.95,4.2,2.2
6.45,S_Conglomerate_02.jpg,5.51,2.65,1.8,7.1,6.8,3.25
5.75,S_Conglomerate_03.jpg,4.81,2.85,2.2,7.85,5.0,4.05
7.9,S_Conglomerate_04.jpg,3.28,2.95,4.1,8.4,3.1,2.1
6.7,S_Conglomerate_05.jpg,3.91,4.6,5.3,7.95,5.0,2.1
