red/green,disorganized/organized,dull/shiny,chromaticity,darkness/lightness,Image,fine/coarse grain,smooth/rough
5.33,4.95,4.85,1.3,8.25,M_Marble_06.jpg,3.45,4.75
5.09,6.95,3.25,0.8,6.3,M_Marble_07.jpg,4.95,4.35
2.09,4.9,5.7,5.1,6.5,M_Marble_08.jpg,4.6,5.55
5.12,4.8,6.3,0.2,8.3,M_Marble_09.jpg,5.2,5.8
3.0,5.3,6.2,3.9,7.75,M_Marble_10.jpg,4.5,5.7
3.07,3.95,4.85,3.8,7.2,M_Marble_11.jpg,5.5,5.25
5.14,6.95,5.15,0.4,6.65,M_Marble_12.jpg,4.65,4.25
5.58,5.55,2.7,0.8,6.25,M_Migmatite_01.jpg,5.05,4.65
5.28,4.2,2.4,1.0,4.35,M_Migmatite_02.jpg,4.6,4.8
5.7,8.05,2.55,1.7,5.85,M_Migmatite_03.jpg,4.25,3.7
5.21,5.95,3.2,1.3,5.45,M_Migmatite_04.jpg,3.6,3.2
5.28,4.75,2.15,1.4,5.3,M_Migmatite_05.jpg,4.3,4.05
5.14,5.05,3.95,1.1,5.55,M_Migmatite_06.jpg,5.05,4.85
5.67,6.35,3.15,1.8,4.6,M_Migmatite_07.jpg,5.2,4.55
6.84,6.2,3.4,2.0,4.55,M_Migmatite_08.jpg,5.1,4.85
6.23,3.8,3.05,2.3,5.05,M_Migmatite_09.jpg,5.85,5.85
5.09,5.15,2.2,1.5,4.4,M_Migmatite_10.jpg,5.35,4.6
5.0,5.05,3.0,0.8,3.25,M_Migmatite_11.jpg,4.35,4.85
4.91,7.1,2.45,1.2,4.5,M_Migmatite_12.jpg,4.35,4.6
5.35,4.25,4.95,1.0,4.5,M_Phyllite_01.jpg,5.5,5.45
4.33,5.65,2.35,1.4,5.0,M_Phyllite_02.jpg,3.55,4.0
5.86,5.2,5.25,2.7,5.8,M_Phyllite_03.jpg,3.3,4.4
6.67,4.9,5.7,2.7,4.5,M_Phyllite_04.jpg,3.85,3.9
5.79,7.1,3.75,1.9,5.95,M_Phyllite_05.jpg,2.9,3.25
6.12,6.2,6.1,1.8,5.1,M_Phyllite_06.jpg,3.35,3.6
